bioguide_id	icpsr	chamber	state_abbrev	district	party_code	party_name	dw_nominate	dw_nominate2
C001103	21513	house	GA	1	200		0.557	0.346
H001071	21514	house	GA	10	200		0.797	-0.242
L000583	21515	house	GA	11	200		0.678	0.03
A000372	21516	house	GA	12	200		0.69	0.285
F000465	21717	house	GA	3	200		0.585	0.251
M001208	21944	house	GA	6	100		-0.355	0.288
B001312	22104	house	GA	7	100		-0.303	0.463
C001116	22110	house	GA	9	200		0.823	-0.141
G000596	22121	house	GA	14	200		0.8	-0.6
W000788	22156	house	GA	5	100		-0.44	-0.407
B000490	29339	house	GA	2	100		-0.287	0.446
S001204	21997	house	GU	0	100		-0.41	-0.52
C001055	20322	house	HI	1	100		-0.204	-0.085
K000396	22128	house	HI	2	100		-0.353	0.052
F000469	21920	house	ID	1	200		0.647	-0.097
S001148	29910	house	ID	2	200		0.296	0.312
F000454	20749	house	IL	11	100		-0.238	-0.225
Q000023	20954	house	IL	5	100		-0.326	-0.231
K000378	21128	house	IL	16	200		0.234	0.382
S001190	21326	house	IL	10	100		-0.195	-0.121
D000619	21328	house	IL	13	200		0.279	0.17
B001286	21329	house	IL	17	100		-0.239	0.054
K000385	21371	house	IL	2	100		-0.472	-0.022
B001295	21519	house	IL	12	200		0.398	-0.035
L000585	21562	house	IL	18	200		0.46	0.223
K000391	21730	house	IL	8	100		-0.345	-0.008
C001117	21906	house	IL	6	100		-0.639	0.425
G000586	21921	house	IL	4	100		-0.432	-0.885
U000040	21979	house	IL	14	100		-0.598	0.331
M001211	22138	house	IL	15	200		0.79	-0.151
N000192	22144	house	IL	3	100		-0.588	-0.303
R000515	29346	house	IL	1	100		-0.479	-0.203
D000096	29717	house	IL	7	100		-0.487	-0.266
S001145	29911	house	IL	9	100		-0.602	-0.291
C001072	20757	house	IN	7	100		-0.436	0.03
B001275	21132	house	IN	8	200		0.38	0.385
W000813	21330	house	IN	2	200		0.436	0.315
B001299	21702	house	IN	3	200		0.647	0.011
H001074	21725	house	IN	9	200		0.417	-0.243
B001307	21903	house	IN	4	200		0.445	0.415
P000615	21952	house	IN	6	200		0.5	0.237
M001214	22142	house	IN	1	100		-0.306	0.341
S000929	22151	house	IN	5	200		0.487	-0.268
Y000067	22171	house	IN	2	200		0.51	0.143
A000378	21902	house	IA	3	100		-0.25	0.528
F000446	22113	house	IA	4	200		0.469	0.165
H001091	22124	house	IA	1	200		0.349	0.349
M001215	22139	house	IA	2	200		0.336	0.195
E000298	21750	house	KS	4	200		0.648	0.108
D000629	21914	house	KS	3	100		-0.269	0.244
L000266	22130	house	KS	2	200		0.468	0.445
M000871	22134	house	KS	1	200		0.605	0.062
R000395	14854	house	KY	5	200		0.333	0.152
Y000062	20723	house	KY	3	100		-0.378	-0.275
G000558	20916	house	KY	2	200		0.428	0.269
B001282	21333	house	KY	6	200		0.486	0.299
C001108	21565	house	KY	1	200		0.592	-0.065
M001184	31102	house	KY	4	200		0.678	-0.735
S001176	20759	house	LA	1	200		0.558	0.165
R000588	21137	house	LA	2	100		-0.486	0.332
G000577	21523	house	LA	6	200		0.425	0.049
H001077	21724	house	LA	3	200		0.623	-0.315
J000299	21727	house	LA	4	200		0.565	0.021
L000595	22157	house	LA	5	200		0.425	0.342
C001125	22158	house	LA	2	100		-0.506	0.246
P000597	20920	house	ME	1	100		-0.423	-0.365
G000592	21923	house	ME	2	100		-0.104	0.373
H000874	14873	house	MD	5	100		-0.381	0.122
M000687	15433	house	MD	7	100		-0.44	-0.328
R000576	20329	house	MD	2	100		-0.299	0.12
S001168	20724	house	MD	3	100		-0.466	-0.078
H001052	21139	house	MD	1	200		0.673	-0.373
B001304	21707	house	MD	4	100		-0.344	-0.063
R000606	21741	house	MD	8	100		-0.511	-0.228
T000483	21978	house	MD	6	100		-0.348	0.23
N000015	15616	house	MA	1	100		-0.417	-0.106
L000562	20119	house	MA	8	100		-0.344	0.048
K000375	21140	house	MA	9	100		-0.329	-0.1
C001101	21375	house	MA	5	100		-0.481	-0.268
M001196	21525	house	MA	6	100		-0.286	-0.04
P000617	21955	house	MA	7	100		-0.369	-0.93
