town,ward,precinct,office,district,party,candidate,votes
Boston,2,7,Governor's Council,6th,Democratic,Helina Fontes,225
Dedham,,7,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",538
Brookline,,6,U.S. House,,Democratic,Natalia Linos,196
Saugus,,5,U.S. Senate,,Democratic,Edward J. Markey,263
Stoughton,,8,U.S. House,8th,Democratic,Total Votes Cast,522
Arlington,,12,U.S. Senate,,Libertarian,Blanks,0
Salem,5,1,State Senate,2nd Essex,Democratic,Joan B. Lovely,725
Newton,5,1,U.S. Senate,,Republican,All Others,2
Georgetown,,3,State House,2nd Essex,Democratic,Total Votes Cast,549
Boston,7,4,U.S. Senate,,Republican,Kevin J. O'Connor,38
Fall River,8,B,U.S. Senate,,Democratic,Total Votes Cast,590
Barre,,1,Governor's Council,7th,Democratic,Blanks,65
Leominster,5,A,U.S. Senate,,Libertarian,Blanks,1
Beverly,4,2,Governor's Council,5th,Democratic,Blanks,206
Brookfield,,1,U.S. Senate,,Libertarian,Total Votes Cast,5
Lynn,3,2,State House,10th Essex,Democratic,Daniel H. Cahill,383
Boston,16,1,State Senate,1st Suffolk,Democratic,Nicholas P. Collins,171
Winchendon,,3,Governor's Council,7th,Democratic,Paul M. Depalo,213
Needham,,H,U.S. Senate,,Republican,All Others,1
Boston,17,11,U.S. Senate,,Libertarian,All Others,0
Attleboro,6,A,U.S. Senate,,Libertarian,Total Votes Cast,2
Malden,5,2,Governor's Council,6th,Democratic,Blanks,132
Boston,19,8,U.S. Senate,,Democratic,Edward J. Markey,419
Boston,18,18,State Senate,Norfolk and Suffolk,Democratic,Michael F. Rush,521
Boston,4,6,U.S. House,7th,Democratic,Total Votes Cast,306
Whately,,1,U.S. House,2nd,Republican,Blanks,10
Franklin,,8,U.S. House,,Democratic,Becky Grossman,144
Canton,,6,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Jarred Philip Rose,266
Lexington,,6,State House,15th Middlesex,Democratic,Blanks,166
Medfield,,3,U.S. House,,Democratic,David Franklin Cavell,11
Newburyport,3,1,Governor's Council,5th,Democratic,All Others,0
Chicopee,6,AN,U.S. House,1st,Democratic,Alex B. Morse,65
Lowell,3,3,U.S. Senate,,Libertarian,Blanks,3
Taunton,1,B,U.S. House,4th,Republican,Julie A. Hall,72
Bellingham,,4A,U.S. Senate,,Republican,Shiva Ayyadurai,4
Lowell,6,2,State House,16th Middlesex,Democratic,Blanks,63
Everett,1,2,U.S. Senate,,Libertarian,Blanks,0
Winchendon,,2,U.S. House,3rd,Democratic,Lori Loureiro Trahan,335
Everett,2,2,State House,28th Middlesex,Democratic,Blanks,21
Oakham,,1,State House,5th Worcester,Democratic,Total Votes Cast,325
Newton,2,1,U.S. House,,Democratic,Jesse R. Mermell,300
Brimfield,,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,All Others,0
Somerville,1,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",197
Leominster,5,C,U.S. House,2nd,Republican,All Others,0
Chelmsford,,9,Governor's Council,3rd,Democratic,Total Votes Cast,960
Fall River,3,B,U.S. House,9th,Democratic,All Others,0
Plymouth,,2,U.S. Senate,,Libertarian,Total Votes Cast,4
Scituate,,1,State House,4th Plymouth,Democratic,Total Votes Cast,918
Sandwich,,4,U.S. Senate,,Libertarian,Total Votes Cast,0
Chelsea,3,1,Governor's Council,6th,Democratic,Blanks,25
Lunenburg,,A,Governor's Council,7th,Democratic,Padraic Rafferty,143
Agawam,,8,U.S. Senate,,Libertarian,Blanks,0
Somerville,4,1,U.S. House,7th,Republican,Total Votes Cast,62
Brockton,3,B,U.S. House,8th,Democratic,Robbie H. Goldstein,112
Boston,20,20,U.S. Senate,,Democratic,Edward J. Markey,467
Winchester,,1,Governor's Council,6th,Democratic,Total Votes Cast,775
Boston,17,10,U.S. House,7th,Democratic,Ayanna S. Pressley,531
Hanover,,1,U.S. Senate,,Libertarian,Blanks,1
Waltham,4,2,Governor's Council,3rd,Democratic,All Others,0
Lexington,,7,U.S. Senate,,Republican,Shiva Ayyadurai,50
Wilbraham,,C,Governor's Council,8th,Democratic,All Others,4
New Bedford,2,E,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Holyoke,3,A,State Senate,2nd Hampden and Hampshire,Republican,Blanks,12
Brookline,,10,U.S. House,,Democratic,Jake Auchincloss,142
Norwood,,4,U.S. Senate,,Republican,Kevin J. O'Connor,117
Seekonk,,1,U.S. House,,Democratic,Jesse R. Mermell,53
TOTALS,,,State House,29th Middlesex,Democratic,Steven C. Owens,7717
Westwood,,1,U.S. Senate,,Republican,All Others,3
Peabody,6,2,Governor's Council,5th,Democratic,Blanks,80
N. Adams,5,5,U.S. Senate,,Republican,All Others,0
Stow,,1,State House,3rd Middlesex,Democratic,Total Votes Cast,1103
Boston,2,1,U.S. House,7th,Republican,All Others,22
Ashland,,4,U.S. Senate,,Republican,Kevin J. O'Connor,63
Somerville,2,1,U.S. House,7th,Democratic,Ayanna S. Pressley,1101
Easton,,6,U.S. Senate,,Republican,Shiva Ayyadurai,91
Attleboro,4,B,U.S. Senate,,Libertarian,Blanks,0
Melrose,3,1,Governor's Council,6th,Democratic,Total Votes Cast,690
Boxford,,2,State House,2nd Essex,Democratic,Total Votes Cast,641
Fall River,5,C,U.S. House,,Democratic,Benjamin R. Sigel,2
Russell,,1,U.S. Senate,,Republican,All Others,0
Seekonk,,1,U.S. House,,Democratic,David Franklin Cavell,10
Swansea,,3,U.S. House,,Democratic,Blanks,38
Boston,10,4,U.S. Senate,,Republican,Shiva Ayyadurai,17
Chelsea,2,1,Governor's Council,6th,Democratic,Helina Fontes,211
Boston,14,3,U.S. House,7th,Democratic,All Others,0
Scituate,,2,U.S. House,8th,Democratic,Stephen F. Lynch,547
Cambridge,1,3,State Senate,Middlesex and Suffolk,Democratic,Blanks,154
Newburyport,2,1,State House,1st Essex,Republican,Blanks,7
New Bedford,3,F,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",276
Andover,,9,U.S. Senate,,Libertarian,All Others,1
TOTALS,,,U.S. House,2nd,Republican,Total Votes Cast,31373
Westfield,6,B,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Franklin,,4,U.S. Senate,,Democratic,Edward J. Markey,371
Halifax,,1,U.S. House,9th,Republican,Total Votes Cast,325
W. Springfield,,6,U.S. Senate,,Republican,Blanks,4
Boston,9,3,State Senate,2nd Suffolk,Democratic,All Others,13
Brockton,7,A,Governor's Council,4th,Democratic,All Others,0
Holbrook,,1,State Senate,Norfolk and Plymouth,Democratic,Total Votes Cast,575
Medford,5,1,Governor's Council,6th,Democratic,Helina Fontes,495
Wayland,,1,State House,13th Middlesex,Republican,Total Votes Cast,86
Lynnfield,,4,U.S. House,6th,Republican,Total Votes Cast,279
Framingham,,6,U.S. Senate,,Republican,Total Votes Cast,155
Andover,,6,State Senate,2nd Essex and Middlesex,Democratic,Blanks,129
Lynn,7,3,State House,11th Essex,Democratic,All Others,8
Weymouth,,8,State House,4th Norfolk,Republican,All Others,2
Lowell,4,2,U.S. House,3rd,Democratic,Total Votes Cast,209
Boston,15,7,State Senate,1st Suffolk,Democratic,Total Votes Cast,302
Orange,,2,U.S. House,2nd,Democratic,Blanks,57
Fall River,1,A,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",423
Peabody,6,1,U.S. Senate,,Republican,Kevin J. O'Connor,130
Boston,17,14,U.S. House,7th,Democratic,Ayanna S. Pressley,526
Rockland,,6,U.S. Senate,,Democratic,Edward J. Markey,238
Fall River,5,B1,State House,6th Bristol,Democratic,Carole A. Fiola,39
S. Hadley,,D,U.S. House,1st,Democratic,Richard E. Neal,369
Worcester,7,4,State Senate,2nd Worcester,Democratic,Total Votes Cast,536
Arlington,,17,Governor's Council,3rd,Democratic,All Others,1
Brockton,7,B,U.S. Senate,,Democratic,Total Votes Cast,605
Athol,,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Dedham,,5,U.S. Senate,,Libertarian,Blanks,1
Royalston,,2,State House,2nd Franklin,Republican,Louis G. Marino,0
Westminster,,2,U.S. Senate,,Republican,Blanks,7
Boston,4,5,U.S. House,7th,Democratic,Total Votes Cast,445
Leominster,1,B,State Senate,Worcester and Middlesex,Republican,Blanks,10
Watertown,,1,U.S. House,5th,Libertarian,All Others,1
Arlington,,16,U.S. Senate,,Republican,Blanks,1
Cambridge,4,2,U.S. House,5th,Libertarian,All Others,1
Chicopee,1,A,State House,8th Hampden,Democratic,Blanks,65
Quincy,2,4,State House,3rd Norfolk,Democratic,Blanks,128
Lexington,,4,State Senate,4th Middlesex,Democratic,Total Votes Cast,1326
Hadley,,1,U.S. Senate,,Democratic,Blanks,10
Woburn,6,2,U.S. Senate,,Republican,All Others,2
Waltham,8,2,State House,10th Middlesex,Democratic,"John J. Lawn, Jr.",282
Oxford,,2,U.S. Senate,,Libertarian,Total Votes Cast,4
Newton,5,4,U.S. Senate,,Republican,Kevin J. O'Connor,34
Abington,,5,Governor's Council,4th,Democratic,Total Votes Cast,686
Lawrence,B,4,Governor's Council,5th,Democratic,Eileen R. Duff,250
Lynn,3,4,Governor's Council,6th,Democratic,Total Votes Cast,573
Boston,9,1,U.S. House,7th,Republican,Total Votes Cast,31
Boston,17,1,U.S. Senate,,Democratic,Blanks,3
Walpole,,1,U.S. Senate,,Republican,Shiva Ayyadurai,63
Cambridge,4,1,State House,25th Middlesex,Democratic,All Others,5
Springfield,1,E,Governor's Council,8th,Democratic,Mary E. Hurley,212
Natick,,10,U.S. Senate,,Republican,Shiva Ayyadurai,33
Leicester,,4,U.S. Senate,,Democratic,All Others,3
Milford,,3,U.S. House,4th,Republican,Julie A. Hall,94
Harvard,,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",508
Templeton,,A,U.S. Senate,,Democratic,Edward J. Markey,169
TOTALS,,,State House,1st Franklin,Democratic,Natalie M. Blais,11881
Winthrop,,1,U.S. House,5th,Libertarian,All Others,0
Stoneham,,3,Governor's Council,6th,Democratic,Terrence W. Kennedy,577
Gardner,3,A,U.S. Senate,,Republican,Blanks,1
Dudley,,3,U.S. House,1st,Democratic,Richard E. Neal,273
Randolph,,12,Governor's Council,2nd,Democratic,Total Votes Cast,715
Pembroke,,4,State Senate,Plymouth and Barnstable,Special Democratic,Stephen Michael Palmer,24
Lawrence,C,1,State House,17th Essex,Democratic,All Others,0
Bellingham,,4A,U.S. House,2nd,Republican,Total Votes Cast,13
Newton,1,3,U.S. House,,Democratic,David Franklin Cavell,7
Attleboro,4,B,State House,2nd Bristol,Democratic,All Others,0
Needham,,J,U.S. House,,Democratic,All Others,2
Boston,12,2,State House,7th Suffolk,Democratic,Blanks,94
Boston,21,1,U.S. Senate,,Republican,Blanks,0
Winchester,,6,State House,31st Middlesex,Democratic,Michael Seamus Day,581
Hopkinton,,2,State House,8th Middlesex,Democratic,Total Votes Cast,905
Boston,9,2,State House,9th Suffolk,Democratic,All Others,10
Medford,1,2,U.S. Senate,,Republican,Shiva Ayyadurai,44
Pittsfield,5,A,Governor's Council,8th,Democratic,Mary E. Hurley,553
Fairhaven,,5,U.S. House,9th,Democratic,Blanks,134
Boston,18,22,U.S. Senate,,Libertarian,Blanks,0
E. Bridgewater,,4,State Senate,"Norfolk, Bristol and Plymouth",Democratic,"Walter F. Timilty, Jr.",354
Worcester,3,3,U.S. House,2nd,Democratic,All Others,5
Haverhill,3,3,State Senate,1st Essex,Democratic,All Others,4
Holliston,,4,State Senate,2nd Middlesex and Norfolk,Democratic,All Others,5
Woburn,4,2,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,396
Boston,2,3,State Senate,Middlesex and Suffolk,Democratic,Total Votes Cast,609
Beverly,3,1,U.S. Senate,,Libertarian,Blanks,4
Plymouth,,2,State Senate,Plymouth and Barnstable,Special Democratic,Thomas W. Moakley,93
Newton,2,3,U.S. House,,Democratic,Natalia Linos,83
Wakefield,,2,U.S. Senate,,Democratic,Blanks,2
Woburn,4,1,State Senate,4th Middlesex,Democratic,Blanks,197
Burlington,,7,U.S. Senate,,Republican,All Others,2
Norton,,5,U.S. House,,Democratic,Alan A. Khazei,37
N. Reading,,2,State House,20th Middlesex,Democratic,Total Votes Cast,793
Leominster,4,A,U.S. Senate,,Republican,Blanks,5
Boston,1,6,U.S. Senate,,Democratic,Total Votes Cast,331
Melrose,6,1,U.S. Senate,,Democratic,Edward J. Markey,435
Lynn,1,2,U.S. Senate,,Democratic,Blanks,6
Halifax,,2,State House,12th Plymouth,Democratic,All Others,3
Whately,,1,U.S. Senate,,Republican,Shiva Ayyadurai,22
Dalton,,2,State Senate,"Berkshire, Hampshire, Franklin & Hampden",Democratic,Total Votes Cast,796
Raynham,,1A,U.S. Senate,,Democratic,All Others,0
Reading,,1,U.S. Senate,,Republican,All Others,5
Attleboro,1,A,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Somerville,7,2,Governor's Council,6th,Democratic,Blanks,122
Boston,14,4,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Randolph,,11,U.S. Senate,,Republican,Shiva Ayyadurai,33
Boston,1,5,U.S. House,7th,Democratic,Total Votes Cast,384
Danvers,,2,U.S. House,6th,Republican,Blanks,29
Hubbardston,,1,State House,5th Worcester,Democratic,Samuel Biagetti,625
Northampton,6,B,U.S. Senate,,Republican,Shiva Ayyadurai,23
Harwich,,4,U.S. Senate,,Republican,Kevin J. O'Connor,113
Attleboro,4,B,State Senate,Bristol and Norfolk,Republican,All Others,28
Brockton,1,B,U.S. House,8th,Democratic,Blanks,42
Fall River,7,A,State Senate,1st Bristol and Plymouth,Democratic,Blanks,88
Amherst,,8,U.S. Senate,,Republican,All Others,4
Leominster,2,C,State House,4th Worcester,Republican,Thomas F. Ardinger,55
Randolph,,12,U.S. House,7th,Republican,Rachel Nicole Miselman,0
Mansfield,,1,U.S. House,4th,Republican,Julie A. Hall,163
Holyoke,5,B,U.S. Senate,,Republican,All Others,4
Waltham,3,1,U.S. Senate,,Republican,Total Votes Cast,202
Woburn,6,2,Governor's Council,3rd,Democratic,Blanks,152
Harvard,,1,State House,37th Middlesex,Special Republican,Malena Chastain,186
W. Springfield,,7,State Senate,Hampden,Democratic,Blanks,22
Boston,4,1,U.S. Senate,,Democratic,Total Votes Cast,735
Norton,,5,U.S. House,4th,Republican,David A. Rosa,42
Brookline,,10,Governor's Council,3rd,Democratic,All Others,13
Hudson,,6,State Senate,Middlesex and Worcester,Democratic,All Others,1
Fairhaven,,1,U.S. House,9th,Republican,Helen Brady,90
Watertown,,8,Governor's Council,3rd,Democratic,All Others,24
Easton,,3,State House,11th Plymouth,Democratic,Total Votes Cast,821
Williamstown,,3,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Pepperell,,2,State Senate,1st Middlesex,Democratic,All Others,3
Springfield,5,D,U.S. Senate,,Republican,Kevin J. O'Connor,35
Lawrence,B,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Dennis,,5,U.S. House,9th,Democratic,Bill Keating,671
Boston,19,6,U.S. Senate,,Democratic,Total Votes Cast,1030
Worcester,3,1,State Senate,1st Worcester,Democratic,Harriette L. Chandler,496
Brookline,,8,State Senate,1st Middlesex and Norfolk,Democratic,Total Votes Cast,1189
Phillipston,,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,All Others,0
Belchertown,,A,U.S. House,2nd,Democratic,Blanks,122
Ashfield,,1,U.S. Senate,,Republican,All Others,1
Worcester,1,1,Governor's Council,7th,Democratic,All Others,4
Sudbury,,3,State House,13th Middlesex,Republican,Blanks,27
TOTALS,,,State House,19th Middlesex,Republican,Blanks,398
Newton,6,1,U.S. House,4th,Republican,All Others,2
Wilbraham,,A,State Senate,1st Hampden and Hampshire,Democratic,Blanks,110
Watertown,,4,State House,29th Middlesex,Democratic,Blanks,89
Northampton,7,B,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",243
Fitchburg,6,B,Governor's Council,7th,Democratic,Total Votes Cast,366
Medfield,,3,State Senate,Bristol and Norfolk,Democratic,Paul R. Feeney,569
Boston,18,1,U.S. Senate,,Libertarian,Blanks,0
Cambridge,3,2,U.S. House,7th,Republican,Rayla Campbell,5
Winchendon,,1A,U.S. House,3rd,Democratic,Lori Loureiro Trahan,70
Springfield,6,F,U.S. House,1st,Democratic,Blanks,5
Somerville,3,3,U.S. Senate,,Democratic,Total Votes Cast,1522
Natick,,2,U.S. Senate,,Democratic,Edward J. Markey,661
Cambridge,1,2,U.S. Senate,,Republican,All Others,3
Chelmsford,,1,Governor's Council,3rd,Democratic,All Others,8
Monson,,A,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,All Others,1
Cambridge,10,3,U.S. House,7th,Republican,Total Votes Cast,22
Boston,14,4,U.S. House,7th,Democratic,Ayanna S. Pressley,400
Bellingham,,3,State Senate,Worcester and Norfolk,Republican,Total Votes Cast,230
Norwell,,1,State Senate,Plymouth and Norfolk,Democratic,Total Votes Cast,739
Medford,5,2,State Senate,2nd Middlesex,Democratic,Total Votes Cast,817
Boston,11,2,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",498
Needham,,I,U.S. House,,Democratic,Benjamin R. Sigel,35
Boxford,,1,U.S. House,6th,Democratic,Angus G. McQuilken,81
Ashfield,,1,U.S. Senate,,Republican,Shiva Ayyadurai,24
Holden,,4,U.S. House,2nd,Democratic,Total Votes Cast,941
Boston,5,7,U.S. Senate,,Democratic,Blanks,3
Boston,3,3,Governor's Council,6th,Democratic,All Others,0
N. Attleborough,,2,State House,14th Bristol,Republican,All Others,0
Framingham,,11,State House,6th Middlesex,Democratic,Total Votes Cast,1208
Dracut,,6A,U.S. Senate,,Republican,Shiva Ayyadurai,2
Milton,,5,State House,7th Norfolk,Democratic,All Others,4
New Bedford,3,F,Governor's Council,1st,Democratic,Joseph C. Ferreira,307
New Bedford,4,A,U.S. House,9th,Democratic,Blanks,39
Boston,7,2,State House,4th Suffolk,Democratic,David Biele,436
Methuen,,6,U.S. House,3rd,Democratic,All Others,8
Medford,1,2,U.S. House,5th,Libertarian,Blanks,0
Warren,,B,Governor's Council,7th,Democratic,All Others,0
Spencer,,4,U.S. House,2nd,Democratic,James P. McGovern,455
Lawrence,E,4,U.S. House,3rd,Democratic,Total Votes Cast,371
Belmont,,4,State House,24th Middlesex,Democratic,Jennifer A. Fries,374
Worcester,4,4,State Senate,1st Worcester,Democratic,Blanks,62
Leominster,1,A,U.S. House,2nd,Republican,Tracy Lyn Lovvorn,146
Brookline,,8,U.S. House,4th,Republican,Blanks,0
Boston,6,9,U.S. House,8th,Democratic,Blanks,20
Templeton,,C,State House,2nd Franklin,Democratic,William E. Larose,264
Templeton,,A,U.S. House,2nd,Democratic,All Others,0
N. Attleborough,,7,U.S. Senate,,Republican,All Others,1
Brockton,4,D,U.S. House,8th,Democratic,Blanks,53
Concord,,4,State House,14th Middlesex,Democratic,Blanks,244
Boston,14,12,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",152
Brookline,,2,U.S. Senate,,Democratic,All Others,0
Boston,20,11,U.S. House,8th,Democratic,Stephen F. Lynch,212
Peabody,5,3,State Senate,2nd Essex,Democratic,All Others,4
Chelsea,4,1,U.S. House,7th,Republican,Rayla Campbell,2
Lynn,6,4,U.S. Senate,,Democratic,Total Votes Cast,314
Boston,13,3,U.S. Senate,,Republican,Total Votes Cast,18
Greenfield,,2,U.S. Senate,,Democratic,All Others,0
Worcester,1,5,Governor's Council,7th,Democratic,Padraic Rafferty,268
Burlington,,2,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,465
Lowell,1,1,U.S. Senate,,Democratic,All Others,2
Pepperell,,1,State House,1st Middlesex,Republican,All Others,3
Worcester,9,1,U.S. Senate,,Republican,Kevin J. O'Connor,49
Athol,,3,U.S. House,2nd,Republican,All Others,0
Brookline,,2,U.S. Senate,,Republican,All Others,1
Bourne,,6,U.S. House,9th,Democratic,Blanks,210
Braintree,,6A,State House,5th Norfolk,Democratic,All Others,2
Lowell,2,2,Governor's Council,5th,Democratic,Eileen R. Duff,239
Arlington,,7,State Senate,4th Middlesex,Democratic,Blanks,117
Marblehead,,1,U.S. Senate,,Democratic,Edward J. Markey,681
Braintree,,3A,State House,5th Norfolk,Republican,Total Votes Cast,124
Gloucester,2,2,U.S. Senate,,Libertarian,Total Votes Cast,5
Stockbridge,,1,U.S. Senate,,Democratic,Total Votes Cast,764
Foxborough,,4,State Senate,Bristol and Norfolk,Democratic,Paul R. Feeney,639
Hinsdale,,1,State House,2nd Berkshire,Democratic,All Others,0
Conway,,1,U.S. Senate,,Republican,Shiva Ayyadurai,24
Worcester,7,4,U.S. House,2nd,Democratic,Total Votes Cast,536
Longmeadow,,D,State House,2nd Hampden,Democratic,Total Votes Cast,824
Easthampton,,2,State Senate,2nd Hampden and Hampshire,Democratic,All Others,1
Springfield,5,F,Governor's Council,8th,Democratic,Mary E. Hurley,452
Wellesley,,C,Governor's Council,3rd,Democratic,All Others,2
Northborough,,3,U.S. Senate,,Democratic,Edward J. Markey,470
Randolph,,10,U.S. House,7th,Democratic,All Others,1
N. Adams,3,3,U.S. Senate,,Democratic,Total Votes Cast,403
Braintree,,2B,State House,5th Norfolk,Republican,All Others,1
Plainfield,,1,State House,1st Franklin,Democratic,All Others,0
Westfield,4,B,U.S. Senate,,Republican,All Others,4
Boston,7,5,U.S. Senate,,Democratic,Edward J. Markey,230
Dedham,,1,U.S. Senate,,Libertarian,Total Votes Cast,1
Attleboro,5,A,State House,2nd Bristol,Democratic,Blanks,41
Marlborough,5,2,U.S. Senate,,Libertarian,All Others,1
Woburn,7,1,State House,15th Middlesex,Democratic,Total Votes Cast,693
TOTALS,,,State House,27th Middlesex,Democratic,Erika Uyterhoeven,8943
TOTALS,,,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,All Others,55
