county,precinct_code,precinct,office,district,party,candidate,votes
Adams,511,Othello Rural #1,President,,Democratic Party,Write-in,0
Adams,511,Othello Rural #1,President,,Democratic Party,John Delaney,0
Adams,511,Othello Rural #1,President,,Democratic Party,Tulsi Gabbard,0
Adams,511,Othello Rural #1,President,,Democratic Party,Amy Klobuchar,2
Adams,511,Othello Rural #1,President,,Democratic Party,Deval Patrick,0
Adams,512,Othello Rural #2,President,,Democratic Party,Michael Bennet,0
Adams,512,Othello Rural #2,President,,Democratic Party,Bernie Sanders,22
Adams,512,Othello Rural #2,President,,Democratic Party,Tom Steyer,0
Adams,512,Othello Rural #2,President,,Democratic Party,Elizabeth Warren,0
Adams,512,Othello Rural #2,President,,Democratic Party,Andrew Yang,1
Adams,512,Othello Rural #2,President,,Democratic Party,Uncommitted Delegates,0
Adams,512,Othello Rural #2,President,,Democratic Party,Joseph R. Biden,6
Adams,512,Othello Rural #2,President,,Democratic Party,Michael Bloomberg,2
Adams,512,Othello Rural #2,President,,Democratic Party,Cory Booker,0
Adams,512,Othello Rural #2,President,,Democratic Party,Pete Buttigieg,1
Adams,512,Othello Rural #2,President,,Democratic Party,Write-in,0
